id,article_category,article_title,device_id,fail_reason,is_completed,push_type,retry_count,sent_at,status
16,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",M9aD9JmikrI:APA91b0tqYY5Qp1vGrQEhmqlXHGO7ueIHTnqpbqcwOOe-wuKlij0wTo5RQ1-RXczl_USHH7XTNnpBW0FbTdIWqikU2Saw0WMXfhxu50tPSVN9wg3oDsHkWo5WUkZYGxYm2C-4r2oZEWB,,1,FCM,1,2026-05-25 22:02:23,success
17,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",a2978bbadc3514df49319cbb19eb06534eff33bed97720155097ad002238e50a,ExpiredProviderToken,1,APNs,0,2026-05-25 22:02:22,fail
18,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",Zp6jR8bV6me:APA91bSRidmWubemY_bINPyThs9KdR4l8PuGnEpQBL5M9ujAQgbaLlfBsSV-goyuMlzPYahVECBzJEncm7SfzRfECICMG9Iw-4e_tTGynJ7PeYeRXuYs-sxhK7u4ewY58h8feQjKb0Ei,,1,FCM,0,2026-05-25 22:02:22,success
19,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",sqXO57akjy1:APA91bQjbwBolGL1bd4MTt6rhvlQ7U_3cbvS4Mc47ocSM-Hg_pA7YKu4-UWtNUD4cDch19y1jPTUQ3zi-krPYzMn1FMooOFXOsQnDpfFiwRGSt5BBTqDtbBPsSAMzVoa_YgSSdhJhrbL,,1,FCM,3,2026-05-25 22:10:14,success
20,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",BVWS6hX2xL7:APA91bRgKpl9925AueIXVBm7X8m9u1dAInu-pUpMH7wXX4EtJ7c6AC79939AK1SDzuqhJ-YjTx5aZTmNgt1Us0jeVcxLPdt-K7MjYCI0hVzS7QCZujxwZfVGTlzniFbv2X3PpYpJEvHC,,1,FCM,0,2026-05-25 22:02:22,success
21,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",2ROEpdkegkE:APA91bsglAbvXO_Gi8F3YSoBj4sGL5D7VttxyuqJnpUx8Sxm0QyjVr8I2EuB88OyIeLF_hB_qwZGsvI8-QhKRFOyNH1-hvKXPMDGOEWIjF0e12Q6w9UOjHjGMVMrgDHjx3OzvbwTUu_P,InvalidRegistration,1,FCM,0,2026-05-25 22:02:22,fail
22,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",fC8d4KMjVF0:APA91bi9UN9q5RMF53QuVPYJawV4L1HnlVwTziogKGxBFeuzvvKW3B2oudRyBkVJz6vIifDP-Eet9LQJeUJG8PdHbRVZd7NPCmrmDUbVV70jw6Q07y54p7Z1SvaZTbHZSVhhvqsJp_If,,1,FCM,0,2026-05-25 22:02:22,success
23,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",997b17bdb2df5c4defd601a519f8be4131f9ba8449a186d597c84797ef43bbd0,,1,APNs,0,2026-05-25 22:02:22,success
24,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",PZEopQ7MsxW:APA91bET0wvAPg2YI9JPIqYb5Xal0STjpMdU0hhLtKud2skUWr-paN5CpNtLq8N94N-x-PDx-ku7Iw2U4-zZgeMyB5HbjEc9lL1fjiMP0KOAFuu68u9KB7dW5H6h1IY-ZpJgJpsU5XaN,,1,FCM,0,2026-05-25 22:02:22,success
25,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",CysmIt4m5Yi:APA91bNrjByWPJOHW_YU8RHiq88avPZ5H6_tkxLc2fBQ0la0u3-edqkhwSTKhgTkhYsCpCPSARYTwploD9AQFAvqlSnwPOGE5WgDXWHv7ALd-DtLVqaCPRd_p4N63XuV5cPOpuHdWXul,,1,FCM,0,2026-05-25 22:02:22,success
26,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",v3EnibJKoY9:APA91bE7-77GA-KcwV99GGmyIHRFRAuYGYPxOStCYpzwZqmSnOCsdhfmNsjhGQdGo68SkOR9qRO8YbKk2fn5ERBRSXDI3lsUyU9RiMRB98Rsr32MRgFOpTsjE2xhk-cW9k_--HOW1ypH,,1,FCM,0,2026-05-25 22:02:22,success
27,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",IsMfEU0J0Jy:APA91bDYnMYJwJ1Cl12zUjuL9OKGFkwzHSs0l82mAJSQ1lnc4TxEWM4VFvDtx-4mE4lH_At1tTrCgR4dmrzsFWxaCxgjr5suWiHHxnzfYFO-VzWEeAbxkDIHmI7vOcDzf11jR3wNcxki,,1,FCM,0,2026-05-25 22:02:22,success
28,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",i5HrmonZ6yg:APA91bow91Q1z-qI5c1aprc3hUNzoLbCurqUISYkrpKgHpbclZ701IsnKeMkauEyRgmFcAIlb552LNnCgVvsU5UQxnGJY7vWfqRvRJtL_oK9RY9wpVTnsNxAjU8QMJ6wI9fhbntD7pkR,,1,FCM,0,2026-05-25 22:02:22,success
29,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",a6b0ee30ce01e066479d0f39f996f3afabcc2b2720e3e65781398fd11c1ae17e,,1,APNs,0,2026-05-25 22:02:22,success
30,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",00807011659a024579610284632382930e3ca426be8136c6d14e9afb5424b368,,1,APNs,0,2026-05-25 22:02:22,success
31,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",eIosxxkH4lq:APA91baqhQ_Bzt-X1MnbKmBCYACd7DYwFsma1xfwv7ovvrrz7XGR6bT4oNp1LIpSItKsGP0WykQIiKG2fTHLmITkgeebwhd22cO9DUOp4deoZp4Fa0r7vHLvPCI9eYJGK5fTQ-pbtSTp,,1,FCM,1,2026-05-25 22:02:23,success
32,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",CBPYPg8XEal:APA91bo-oXFQMWv0CYiOAoZttvRFWVkfnFm_h6r2_QNIeTzHNC3PHZwJcgXtbLiBU7O9vvqnuNBOrCaCgxsfTutKZzaQX1Z3rGH6pcApPXkWSlF3nbhOJLxAHRRQr8X9ckSFFIWcIu0-,InvalidRegistration,1,FCM,0,2026-05-25 22:02:22,fail
33,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",eqI2BdzgtSk:APA91bJFWC8t7H5BakKdkn6oekaBNQe3Rln_3ELoc20kOm755pFYvTT6hBJwZTRMorcYzPaKYgqpGYOu9a2CeITElGrC-qbNhasSxIAC9DBl1XRpDrm8n4njnTs5GMlCHiVCUzpOaz8A,,1,FCM,0,2026-05-25 22:02:22,success
34,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",s9ewzz18fYz:APA91bKrxoLoNqn59Ql8_NAyx2-zoVuN29NVf_dUZbAvmYW9cPA5_HB1tD9mYLg-JbH_DViHHu98R6uWUxtT2dwABahV2Ixx3udQIJ7YiFO-kCFIY7f9Eo65F2BHCi2giXta3MEK0jIf,,1,FCM,0,2026-05-25 22:02:22,success
35,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",GxkFogGF8Pe:APA91b5xmBGZS9-xD-bFPMVnkZhsLnkwkjDyh9L-toyWqUI2baZkVnwOqrWrKz_ia5tiflZdx9V_LyAnHZ-1SoHh69r3Iyv1FUQH2Qay1cHfalkyq6bWSGJZVHzBEvTLVfIRT3NbPl9r,,1,FCM,0,2026-05-25 22:02:22,success
36,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",efb76398011561b19b12b26738caae922a00cdcef4fbf625aac9f6c928c2219a,DeviceTokenNotForTopic,1,APNs,0,2026-05-25 22:02:22,fail
37,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",f39bf503586461119bb48e463fc17c917479a7ebbcd1e5a046e3fe0faf985acb,,1,APNs,0,2026-05-25 22:02:22,success
38,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",1bb32a12adc322cf120bedc1c5d5d7b6c2069fe89bd96ab6a90d622ab0d5d338,BadDeviceToken,1,APNs,0,2026-05-25 22:02:22,fail
39,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",52b799f1540a0b60edcc710450ece3d4d299f04d7fef515c434dabd5589476c7,,1,APNs,0,2026-05-25 22:02:22,success
40,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",5851b87939e435b055977afd9e0ea0ccff1ebdea10e9ab644443061a20edd5ca,DeviceTokenNotForTopic,1,APNs,0,2026-05-25 22:02:22,fail
41,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",29cb429337f366e86a3ee52d61a0a885ba5c2701849f2598351e47ff421bcf56,,1,APNs,0,2026-05-25 22:02:22,success
42,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",3i0OYmNr9m1:APA91baM3KHBOweWhvfT9MzCwBuZ2RGeSAfNd5FAH_db-_cMV2g2Ok__0WKLt7zTgCpSYuILXFuh9RK1wLWArqZhDANKLUmshM68Zj9K_GibXnlwvkHMlxmVL_ePCg-yjFPRDxvyhrhO,,1,FCM,0,2026-05-25 22:02:22,success
43,정치,"부산 북갑서 또 '오빠' 논란…김민전, 지원유세중 10대 학생에게",7TAIcIBxKMZ:APA91b7ElIt8GMB4Aws6Clewf4pgIe5vDsGvvYpXWZEbaBoC4wH0ZoqifSUEAt6OTx1uZ6cWeGKPx3I4amWYPhxOVZA5OP4-SqklhTu_3w5y-eT7T2hFNcC89qdlEG3jH5JupZMcM7ul,,1,FCM,3,2026-05-25 22:10:14,success
44,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",qkC5nbUj2UZ:APA91bI0PJrwzhKxNNFhlkNDc6FfwesfSMTNcGk1aM1iC6uFBIIQCh8moR3BgqmjsYNW_jxIl-2UpBwq_1GGp86YraIGd_avJXREspOzj-HLPoS4VYnDK4QY75cfKtDGVnSKm3y3vK-S,,1,FCM,0,2026-05-25 22:02:22,success
45,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",df672b1f45bb96e4db70bef7e2d35335b623e48fa1913b95bb3eb96fbd416b7e,,1,APNs,0,2026-05-25 22:02:22,success
46,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",d130339eb0558ccf92ab8551bd2f9b5bb531a38d1df0aacac06e9f7039d614ca,DeviceTokenNotForTopic,1,APNs,0,2026-05-25 22:02:22,fail
47,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",ROeiNxabWre:APA91buMkON_FvHb8DOsyj4Kk3pyNLr_6sO-y0epPPFKCEt8U8w6bf5_5DvM25dHd0bz6ke3Kkqw74C5mUqAI6h-0N-u9vsHy5s-n52TQ0Q6clV_jcogs6-EdUYXOyoPhp8Qef3TBe14,,1,FCM,1,2026-05-25 22:02:23,success
48,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",8e74a0bc0e50832ede3fe053a589ad18f59abf64c6c45ca232472b751109c709,ExpiredProviderToken,1,APNs,0,2026-05-25 22:02:22,fail
49,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",uxrLvV1ocV5:APA91b6ilS0M-HhyvFOYjHrrqn9J8pFX8fF2Sx4w0Pqi0jiR01Bh4apnP_HY4_6cDxrcC0axj2lC1dWXQlo0PpzZOI6INZAJdStmps581G15lcFpeQEKm1kF2fedChlzyeiJHdqslZWC,,1,FCM,1,2026-05-25 22:02:23,success
50,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",ce06d9086a2d64c2b0c75017b7a8e6f8cab08f44d1f9ed4e6a0935e44c43686f,Unregistered,1,APNs,0,2026-05-25 22:02:22,fail
51,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",8rNMc1bmuSs:APA91bH1XjQBVlfnnOcfCd_OrxF9Ln_J7O-s6UGZN0fumBrrTfU9GQb2K-FuH-PqdI9KIuYUv4hQs51GmXujYFk24SZvHi5FFlumsRa9QsEBYtwI7ekSKtVxm2BqpggyyUvVc9_jHMAT,InvalidRegistration,1,FCM,0,2026-05-25 22:02:22,fail
52,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",5b617614df41a4bb4d273fc232b0d7578c59cd258279ddf43c22841928722428,BadDeviceToken,1,APNs,0,2026-05-25 22:02:22,fail
53,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",wbXtrDheRFV:APA91bT7V1xJAtVnk7bUkPlUZCpAQhtippVuK_MxjH6W6TuSaIXwuV5BGALKw-obwsdBGfGz5WISu4KnRovE7RL_ZKdrRUr2kKtj4Ol9bkqR3Es3Le-PVeiSzl-tAdLlrc3VyD45kY7C,,1,FCM,0,2026-05-25 22:02:22,success
54,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",76229b76031383ee32d95343da52c7d4dd2a7393fdd357151a4691dbfe8ab62d,ExpiredProviderToken,1,APNs,0,2026-05-25 22:02:22,fail
55,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",A8rhm6g0MaY:APA91bKUN13Lty-Q3iQWJLiwYI2qp3F6k_UUpGr7vlnfgdWwC88POWYok-ddCir4pGn9Cjm8Y_WA-02nQ-L9EycVa130ungHPEVEls5U4dyD4NQ-mKM3LdOymg4E9yBczZegY5lTOakT,InvalidRegistration,1,FCM,0,2026-05-25 22:02:22,fail
56,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",PVrMMkwG1rs:APA91bq8qyocyf9FkVI_I_pk8L9xa2C2MkBvBY5WZE_-ntW3YCrHDE2HMlHnBBycRXVj8Fh-sLXXRj1zsiy7RW-fv07_VqGxQxAwM1eN0WtiEeZnp_gmOXB3jl7dgErDn9p6HW8_sNe7,,1,FCM,2,2026-05-25 22:09:13,success
57,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",QEJPWGS15CH:APA91bG_AE8tedaJ9Znr4N-x6qDFmHqowWJTzyuDquqj_6RgROl6k5ruSj5fyZZnt4uyYhbxFQwxU4IMDCLFqdKsocQckqpXnA-jcxNs9HWY0eN2uu4-MygCrjCTxhkCeVjW10Sxi6P5,,1,FCM,1,2026-05-25 22:02:23,success
58,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",24KwfCSy7eX:APA91bO8kVsLzNoHJ41Z42Li847ToMwbZqykqZKZBJ4j9sNYB32tR0TeTpN7ohAB4m90Br80W5VyS-jUzPA7d5vi7ExcWR3HuVRisQGXO2ouG39g3NT1XP7C8aFXuQ7PX72fuBo0ja_6,,1,FCM,0,2026-05-25 22:02:22,success
59,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",M9aD9JmikrI:APA91b0tqYY5Qp1vGrQEhmqlXHGO7ueIHTnqpbqcwOOe-wuKlij0wTo5RQ1-RXczl_USHH7XTNnpBW0FbTdIWqikU2Saw0WMXfhxu50tPSVN9wg3oDsHkWo5WUkZYGxYm2C-4r2oZEWB,,1,FCM,1,2026-05-25 22:02:23,success
60,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",a2978bbadc3514df49319cbb19eb06534eff33bed97720155097ad002238e50a,,1,APNs,0,2026-05-25 22:02:22,success
61,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",Zp6jR8bV6me:APA91bSRidmWubemY_bINPyThs9KdR4l8PuGnEpQBL5M9ujAQgbaLlfBsSV-goyuMlzPYahVECBzJEncm7SfzRfECICMG9Iw-4e_tTGynJ7PeYeRXuYs-sxhK7u4ewY58h8feQjKb0Ei,,1,FCM,0,2026-05-25 22:02:22,success
62,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",sqXO57akjy1:APA91bQjbwBolGL1bd4MTt6rhvlQ7U_3cbvS4Mc47ocSM-Hg_pA7YKu4-UWtNUD4cDch19y1jPTUQ3zi-krPYzMn1FMooOFXOsQnDpfFiwRGSt5BBTqDtbBPsSAMzVoa_YgSSdhJhrbL,,1,FCM,1,2026-05-25 22:02:23,success
63,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",BVWS6hX2xL7:APA91bRgKpl9925AueIXVBm7X8m9u1dAInu-pUpMH7wXX4EtJ7c6AC79939AK1SDzuqhJ-YjTx5aZTmNgt1Us0jeVcxLPdt-K7MjYCI0hVzS7QCZujxwZfVGTlzniFbv2X3PpYpJEvHC,,1,FCM,1,2026-05-25 22:02:23,success
64,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",2ROEpdkegkE:APA91bsglAbvXO_Gi8F3YSoBj4sGL5D7VttxyuqJnpUx8Sxm0QyjVr8I2EuB88OyIeLF_hB_qwZGsvI8-QhKRFOyNH1-hvKXPMDGOEWIjF0e12Q6w9UOjHjGMVMrgDHjx3OzvbwTUu_P,InvalidRegistration,1,FCM,0,2026-05-25 22:02:22,fail
65,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",fC8d4KMjVF0:APA91bi9UN9q5RMF53QuVPYJawV4L1HnlVwTziogKGxBFeuzvvKW3B2oudRyBkVJz6vIifDP-Eet9LQJeUJG8PdHbRVZd7NPCmrmDUbVV70jw6Q07y54p7Z1SvaZTbHZSVhhvqsJp_If,,1,FCM,1,2026-05-25 22:02:23,success
66,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",997b17bdb2df5c4defd601a519f8be4131f9ba8449a186d597c84797ef43bbd0,BadDeviceToken,1,APNs,0,2026-05-25 22:02:22,fail
67,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",PZEopQ7MsxW:APA91bET0wvAPg2YI9JPIqYb5Xal0STjpMdU0hhLtKud2skUWr-paN5CpNtLq8N94N-x-PDx-ku7Iw2U4-zZgeMyB5HbjEc9lL1fjiMP0KOAFuu68u9KB7dW5H6h1IY-ZpJgJpsU5XaN,,1,FCM,1,2026-05-25 22:02:23,success
68,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",CysmIt4m5Yi:APA91bNrjByWPJOHW_YU8RHiq88avPZ5H6_tkxLc2fBQ0la0u3-edqkhwSTKhgTkhYsCpCPSARYTwploD9AQFAvqlSnwPOGE5WgDXWHv7ALd-DtLVqaCPRd_p4N63XuV5cPOpuHdWXul,,1,FCM,0,2026-05-25 22:02:22,success
69,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",v3EnibJKoY9:APA91bE7-77GA-KcwV99GGmyIHRFRAuYGYPxOStCYpzwZqmSnOCsdhfmNsjhGQdGo68SkOR9qRO8YbKk2fn5ERBRSXDI3lsUyU9RiMRB98Rsr32MRgFOpTsjE2xhk-cW9k_--HOW1ypH,InvalidRegistration,1,FCM,0,2026-05-25 22:02:22,fail
70,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",IsMfEU0J0Jy:APA91bDYnMYJwJ1Cl12zUjuL9OKGFkwzHSs0l82mAJSQ1lnc4TxEWM4VFvDtx-4mE4lH_At1tTrCgR4dmrzsFWxaCxgjr5suWiHHxnzfYFO-VzWEeAbxkDIHmI7vOcDzf11jR3wNcxki,,1,FCM,0,2026-05-25 22:02:22,success
71,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",i5HrmonZ6yg:APA91bow91Q1z-qI5c1aprc3hUNzoLbCurqUISYkrpKgHpbclZ701IsnKeMkauEyRgmFcAIlb552LNnCgVvsU5UQxnGJY7vWfqRvRJtL_oK9RY9wpVTnsNxAjU8QMJ6wI9fhbntD7pkR,InvalidRegistration,1,FCM,0,2026-05-25 22:02:22,fail
72,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",a6b0ee30ce01e066479d0f39f996f3afabcc2b2720e3e65781398fd11c1ae17e,,1,APNs,0,2026-05-25 22:02:22,success
73,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",00807011659a024579610284632382930e3ca426be8136c6d14e9afb5424b368,Unregistered,1,APNs,0,2026-05-25 22:02:22,fail
74,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",eIosxxkH4lq:APA91baqhQ_Bzt-X1MnbKmBCYACd7DYwFsma1xfwv7ovvrrz7XGR6bT4oNp1LIpSItKsGP0WykQIiKG2fTHLmITkgeebwhd22cO9DUOp4deoZp4Fa0r7vHLvPCI9eYJGK5fTQ-pbtSTp,,1,FCM,0,2026-05-25 22:02:22,success
75,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",CBPYPg8XEal:APA91bo-oXFQMWv0CYiOAoZttvRFWVkfnFm_h6r2_QNIeTzHNC3PHZwJcgXtbLiBU7O9vvqnuNBOrCaCgxsfTutKZzaQX1Z3rGH6pcApPXkWSlF3nbhOJLxAHRRQr8X9ckSFFIWcIu0-,InvalidRegistration,1,FCM,2,2026-05-25 22:09:13,fail
76,정치,"언론사 여론조사 하루 앞서 유출…이원택 측 ""유착 의혹"" 제기",eqI2BdzgtSk:APA91bJFWC8t7H5BakKdkn6oekaBNQe3Rln_3ELoc20kOm755pFYvTT6hBJwZTRMorcYzPaKYgqpGYOu9a2CeITElGrC-qbNhasSxIAC9DBl1XRpDrm8n4njnTs5GMlCHiVCUzpOaz8A,Unavailable,1,FCM,3,2026-05-25 22:10:14,fail
